matricula;tipus;dia_hora;durada;hora;dia_setmana;dia_setmana_dec
9067 SAG;1;2023-05-13 22:19:53;13375;22.3;5;5.9
9067 SAG;1;2023-09-03 19:27:16;10769;19.5;6;6.8
9067 SAG;1;2023-09-16 21:37:16;8207;21.6;5;5.9
9067 SAG;1;2023-06-17 21:15:55;11190;21.3;5;5.9
9067 SAG;1;2023-02-04 21:00:15;10171;21.0;5;5.9
9067 SAG;1;2023-04-15 21:25:58;15130;21.4;5;5.9
9067 SAG;1;2023-01-22 20:02:05;14501;20.0;6;6.8
9067 SAG;1;2023-04-09 21:13:43;12402;21.2;6;6.9
9067 SAG;1;2023-01-07 19:51:48;11286;19.9;5;5.8
9067 SAG;1;2023-08-26 22:29:04;6912;22.5;5;5.9
9067 SAG;1;2023-08-05 19:01:20;4523;19.0;5;5.8
9067 SAG;1;2023-04-29 21:15:57;19385;21.3;5;5.9
9067 SAG;1;2023-12-02 22:07:25;16821;22.1;5;5.9
9067 SAG;1;2023-01-29 21:05:56;15832;21.1;6;6.9
9067 SAG;1;2023-08-13 20:43:43;13007;20.7;6;6.9
9067 SAG;1;2023-11-26 20:43:57;8822;20.7;6;6.9
9067 SAG;1;2023-12-30 21:07:57;9085;21.1;5;5.9
9067 SAG;1;2023-06-18 22:18:30;11502;22.3;6;6.9
9067 SAG;1;2023-07-08 21:24:00;9584;21.4;5;5.9
9067 SAG;1;2023-12-03 22:15:23;8164;22.3;6;6.9
9067 SAG;1;2023-11-18 21:39:36;9536;21.7;5;5.9
9067 SAG;1;2023-02-19 20:03:38;9038;20.1;6;6.8
9067 SAG;1;2023-07-22 20:11:43;10034;20.2;5;5.8
9067 SAG;1;2023-08-27 20:39:39;11923;20.7;6;6.9
7742 BQP;1;2023-08-27 21:33:54;10269;21.6;6;6.9
7742 BQP;1;2023-03-11 20:58:26;11840;21.0;5;5.9
7742 BQP;1;2023-03-18 20:27:36;13349;20.5;5;5.9
7742 BQP;1;2023-05-06 21:50:32;11532;21.8;5;5.9
7742 BQP;1;2023-11-11 23:23:40;14102;23.4;5;6.0
7742 BQP;1;2023-09-30 20:53:15;9496;20.9;5;5.9
7742 BQP;1;2023-06-03 20:46:04;8993;20.8;5;5.9
7742 BQP;1;2023-06-11 22:07:43;8287;22.1;6;6.9
7742 BQP;1;2023-01-14 20:55:07;8894;20.9;5;5.9
7742 BQP;1;2023-08-19 22:02:46;5693;22.0;5;5.9
7742 BQP;1;2023-04-16 20:38:15;10361;20.6;6;6.9
7742 BQP;1;2023-05-14 21:19:09;12459;21.3;6;6.9
7742 BQP;1;2023-05-20 20:47:03;14360;20.8;5;5.9
7742 BQP;1;2023-09-02 21:18:53;19683;21.3;5;5.9
7742 BQP;1;2023-03-04 19:29:30;13034;19.5;5;5.8
7742 BQP;1;2023-01-28 19:57:17;7927;20.0;5;5.8
7742 BQP;1;2023-12-16 22:59:06;17081;23.0;5;6.0
7742 BQP;1;2023-09-16 19:08:37;9998;19.1;5;5.8
7742 BQP;1;2023-04-30 20:56:02;3125;20.9;6;6.9
7742 BQP;1;2023-05-07 20:57:04;12216;21.0;6;6.9
7742 BQP;1;2023-02-26 21:13:02;3620;21.2;6;6.9
7742 BQP;1;2023-01-22 22:06:27;11680;22.1;6;6.9
7742 BQP;1;2023-02-12 20:56:17;8085;20.9;6;6.9
7742 BQP;1;2023-12-10 21:42:43;14105;21.7;6;6.9
7742 BQP;1;2023-04-15 20:31:04;11122;20.5;5;5.9
7742 BQP;1;2023-04-01 21:49:37;3763;21.8;5;5.9
7742 BQP;1;2023-09-10 21:07:02;3933;21.1;6;6.9
7742 BQP;1;2023-11-25 20:04:37;12491;20.1;5;5.8
7742 BQP;1;2023-11-18 20:51:20;9359;20.9;5;5.9
7742 BQP;1;2023-07-01 20:42:14;13853;20.7;5;5.9
7742 BQP;1;2023-12-24 21:42:24;7965;21.7;6;6.9
7742 BQP;1;2023-02-18 21:17:34;9105;21.3;5;5.9
7742 BQP;1;2023-10-22 23:24:15;8138;23.4;6;7.0
7742 BQP;1;2023-01-15 20:41:13;9544;20.7;6;6.9
7742 BQP;1;2023-06-24 20:33:39;11307;20.6;5;5.9
7742 BQP;1;2023-03-12 21:16:22;4973;21.3;6;6.9
7742 BQP;1;2023-08-26 20:25:36;6046;20.4;5;5.8
7742 BQP;1;2023-04-23 22:14:10;19675;22.2;6;6.9
7742 BQP;1;2023-11-26 22:22:59;12046;22.4;6;6.9
7742 BQP;1;2023-03-05 22:01:21;11400;22.0;6;6.9
7742 BQP;1;2023-04-08 22:39:24;13204;22.7;5;5.9
7742 BQP;1;2023-04-09 20:46:12;6733;20.8;6;6.9
7742 BQP;1;2023-09-24 20:21:36;11929;20.4;6;6.8
7742 BQP;1;2023-02-05 19:46:26;10001;19.8;6;6.8
7742 BQP;1;2023-07-09 22:20:23;10905;22.3;6;6.9
7742 BQP;1;2023-09-17 22:59:07;16009;23.0;6;7.0
7742 BQP;1;2023-05-13 20:42:44;5906;20.7;5;5.9
7742 BQP;1;2023-02-25 20:57:07;9069;21.0;5;5.9
5135 BNE;1;2023-09-17 21:22:39;16611;21.4;6;6.9
5135 BNE;1;2023-04-02 19:52:36;9400;19.9;6;6.8
5135 BNE;1;2023-07-08 21:19:56;14885;21.3;5;5.9
5135 BNE;1;2023-11-19 21:30:38;12291;21.5;6;6.9
5135 BNE;1;2023-07-29 22:20:40;12576;22.3;5;5.9
5135 BNE;1;2023-01-28 20:45:46;11006;20.8;5;5.9
5135 BNE;1;2023-01-15 20:17:34;12767;20.3;6;6.8
5135 BNE;1;2023-07-22 21:56:33;73;21.9;5;5.9
5135 BNE;1;2023-02-05 22:13:05;10596;22.2;6;6.9
5135 BNE;1;2023-03-26 21:27:39;13184;21.5;6;6.9
5135 BNE;1;2023-01-29 18:42:17;6494;18.7;6;6.8
5135 BNE;1;2023-12-30 20:40:00;7950;20.7;5;5.9
5135 BNE;1;2023-02-11 21:16:27;8946;21.3;5;5.9
5135 BNE;1;2023-07-02 19:17:20;13004;19.3;6;6.8
5135 BNE;1;2023-01-21 22:06:00;12831;22.1;5;5.9
5135 BNE;1;2023-11-26 20:17:13;9860;20.3;6;6.8
5135 BNE;1;2023-08-12 21:32:54;12971;21.5;5;5.9
5135 BNE;1;2023-02-12 22:00:24;9740;22.0;6;6.9
5135 BNE;1;2023-05-27 19:34:44;8355;19.6;5;5.8
5135 BNE;1;2023-06-11 21:32:01;13478;21.5;6;6.9
5135 BNE;1;2023-02-19 23:13:30;11221;23.2;6;7.0
5135 BNE;1;2023-04-23 21:14:40;10161;21.2;6;6.9
5135 BNE;1;2023-04-01 20:35:39;13614;20.6;5;5.9
5135 BNE;1;2023-06-03 21:21:12;10053;21.4;5;5.9
5135 BNE;1;2023-04-15 19:55:13;10356;19.9;5;5.8
5135 BNE;1;2023-01-01 20:36:32;15318;20.6;6;6.9
5135 BNE;1;2023-11-12 21:56:49;7119;21.9;6;6.9
5135 BNE;1;2023-08-06 22:10:01;8740;22.2;6;6.9
5135 BNE;1;2023-05-20 21:07:59;15129;21.1;5;5.9
5135 BNE;1;2023-09-10 19:58:30;11377;20.0;6;6.8
5135 BNE;1;2023-12-09 19:52:10;3811;19.9;5;5.8
5135 BNE;1;2023-10-22 21:59:11;10901;22.0;6;6.9
5135 BNE;1;2023-06-18 20:10:39;5088;20.2;6;6.8
5135 BNE;1;2023-06-17 20:35:54;15631;20.6;5;5.9
5135 BNE;1;2023-10-29 21:24:08;9458;21.4;6;6.9
5135 BNE;1;2023-11-18 20:19:40;11180;20.3;5;5.8
5135 BNE;1;2023-02-18 19:27:09;15641;19.5;5;5.8
5135 BNE;1;2023-03-04 21:30:11;15099;21.5;5;5.9
5135 BNE;1;2023-03-18 20:26:11;13877;20.4;5;5.8
5135 BNE;1;2023-07-15 21:41:16;5280;21.7;5;5.9
5135 BNE;1;2023-10-14 21:08:56;11934;21.1;5;5.9
5135 BNE;1;2023-11-04 20:25:30;9503;20.4;5;5.8
5135 BNE;1;2023-04-30 21:26:10;10663;21.4;6;6.9
5135 BNE;1;2023-09-24 19:59:43;12929;20.0;6;6.8
5135 BNE;1;2023-05-13 21:13:40;11697;21.2;5;5.9
5135 BNE;1;2023-10-01 21:05:44;12416;21.1;6;6.9
5135 BNE;1;2023-12-16 20:42:50;7694;20.7;5;5.9
5135 BNE;1;2023-01-22 20:15:29;14780;20.3;6;6.8
5135 BNE;1;2023-03-25 18:58:56;12745;19.0;5;5.8
5135 BNE;1;2023-06-25 19:33:27;5008;19.6;6;6.8
9566 JVI;1;2023-01-01 19:59:36;9872;20.0;6;6.8
9566 JVI;1;2023-02-25 21:43:49;4685;21.7;5;5.9
9566 JVI;1;2023-06-04 22:40:26;14989;22.7;6;6.9
9566 JVI;1;2023-12-10 20:52:02;9755;20.9;6;6.9
